area,address,street_in_front_of_house,width,height,floor_number,bedroom_number,bathroom_number,direction,law,price,room_density,bath_per_bed,wide_ratio,distance_center
51,Phường Vĩnh Tuy,3,10.2,5,4,3,3,Không xác định,1,9.2,0.058823529,0.75,2.04,3.782375797
34,Phường Tương Mai,3,8.5,4,6,3,4,Không xác định,1,7.5,0.088235294,1,2.125,4.330345452
34,Phường Lĩnh Nam,3,6.8,5,5,3,4,Không xác định,1,8.85,0.088235294,1,1.36,7.215801338
43,Phường Tương Mai,3,14.3,3,5,6,4,Không xác định,1,10.5,0.139534884,0.571428571,4.766666667,4.330345452
51,Phường Vĩnh Tuy,4,7.3,7,6,4,5,Không xác định,1,19.8,0.078431373,1,1.042857143,3.782375797
52,Phường Vĩnh Tuy,3,13,4,4,4,3,Không xác định,1,10.2,0.076923077,0.6,3.25,3.782375797
39,Phường Tương Mai,3,13,3,5,3,4,Không xác định,1,10.6,0.076923077,1,4.333333333,4.330345452
30,Phường Tương Mai,3,7.5,4,7,3,5,Không xác định,1,9.8,0.1,1.25,1.875,4.330345452
55,Phường Tương Mai,3,18.3,3,5,6,4,Không xác định,1,11.8,0.109090909,0.571428571,6.1,4.330345452
90,Phường Tương Mai,4,15,6,3,2,3,Không xác định,0,10.2,0.022222222,1,2.5,4.330345452
39,Phường Tương Mai,3,7.8,5,4,3,3,Không xác định,1,8.15,0.076923077,0.75,1.56,4.330345452
26,Phường Vĩnh Tuy,3,5,5,3,3,3,Không xác định,1,7.1,0.115384615,0.75,1,3.782375797
30,Phường Tương Mai,3,6,5,5,3,4,Không xác định,1,6.85,0.1,1,1.2,4.330345452
73,Phường Tương Mai,5,14.6,5,4,3,3,Không xác định,1,20,0.04109589,0.75,2.92,4.330345452
56,Phường Lĩnh Nam,3,11.2,5,5,3,4,Không xác định,1,9.85,0.053571429,1,2.24,7.215801338
82,Phường Tương Mai,3,20.5,4,3,3,3,Không xác định,1,9.4,0.036585366,0.75,5.125,4.330345452
30,Phường Lĩnh Nam,3,10,3,5,3,4,Không xác định,1,6.35,0.1,1,3.333333333,7.215801338
55,Phường Tương Mai,3,13.8,4,4,4,3,Không xác định,1,13.35,0.072727273,0.6,3.45,4.330345452
63,Phường Tương Mai,4,12.6,5,5,4,4,Không xác định,1,13.8,0.063492063,0.8,2.52,4.330345452
27,Phường Vĩnh Tuy,4,9,3,4,4,3,Không xác định,1,8.85,0.148148148,0.6,3,3.782375797
39,Phường Tương Mai,4,9.8,4,5,4,3,Không xác định,1,9,0.102564103,0.6,2.45,4.330345452
49,Phường Vĩnh Tuy,4,12.2,4,3,4,3,Không xác định,1,11.3,0.081632653,0.6,3.05,3.782375797
40,Phường Tương Mai,3,10,4,5,6,4,Không xác định,1,8.35,0.15,0.571428571,2.5,4.330345452
43,Phường Tương Mai,3,10.8,4,5,4,4,Không xác định,1,8.9,0.093023256,0.8,2.7,4.330345452
55,Phường Lĩnh Nam,3,13.8,4,6,6,4,Không xác định,1,14.5,0.109090909,0.571428571,3.45,7.215801338
50,Phường Vĩnh Tuy,4,16.7,3,4,4,3,Không xác định,1,10.9,0.08,0.6,5.566666667,3.782375797
39,Phường Tương Mai,3,9.8,4,5,3,4,Không xác định,1,6.35,0.076923077,1,2.45,4.330345452
30,Phường Tương Mai,3,6,5,5,3,4,Không xác định,1,6.2,0.1,1,1.2,4.330345452
30,Phường Bạch Mai,3,7.5,4,4,3,2,Không xác định,1,8.3,0.1,0.5,1.875,2.8
34,Phường Bạch Mai,3,11.3,3,3,2,2,Không xác định,1,6.8,0.058823529,0.666666667,3.766666667,3
31,Phường Tương Mai,3,7.8,4,4,3,3,Không xác định,1,6.95,0.096774194,0.75,1.95,4.330345452
34,Phường Tương Mai,3,8.5,4,6,3,4,Không xác định,1,7.85,0.088235294,1,2.125,4.330345452
35,Phường Tương Mai,3,8.8,4,6,3,4,Không xác định,1,7.85,0.085714286,1,2.2,4.330345452
40,Phường Vĩnh Tuy,3,13.3,3,4,4,4,Không xác định,1,7.98,0.1,0.8,4.433333333,3.782375797
45,Phường Tương Mai,3,7.5,6,4,4,3,Không xác định,1,9,0.088888889,0.6,1.25,4.330345452
50,Phường Vĩnh Tuy,3,12.5,4,5,6,4,Không xác định,1,12.5,0.12,0.571428571,3.125,3.782375797
30,Phường Vĩnh Tuy,3,0.8,38,6,3,4,Không xác định,1,6.75,0.1,1,0.021052632,3.782375797
66,Phường Lĩnh Nam,3,16.5,4,5,5,4,Không xác định,1,13.8,0.075757576,0.666666667,4.125,7.215801338
30,Phường Tương Mai,3,10,3,5,3,4,Không xác định,1,6.5,0.1,1,3.333333333,4.330345452
32,Phường Tương Mai,3,10.7,3,5,3,4,Không xác định,1,6.4,0.09375,1,3.566666667,4.330345452
34,Phường Tương Mai,3,8.5,4,4,4,3,Không xác định,1,7.35,0.117647059,0.6,2.125,4.330345452
47,Phường Bạch Mai,3,7.8,6,5,3,4,Không xác định,1,8.55,0.063829787,1,1.3,3.189375782
30,Phường Bạch Mai,4,5,6,5,4,4,Không xác định,1,11,0.133333333,0.8,0.833333333,3.3
42,Phường Vĩnh Tuy,3,10.5,4,3,3,2,Không xác định,1,9.95,0.071428571,0.5,2.625,3.782375797
51,Phường Vĩnh Tuy,3,10.2,5,4,3,3,Không xác định,1,11,0.058823529,0.75,2.04,3.782375797
41,Phường Vĩnh Tuy,3,10.2,4,4,4,3,Không xác định,1,8.5,0.097560976,0.6,2.55,3.782375797
29,Phường Tương Mai,3,5.8,5,5,3,4,Không xác định,1,7.2,0.103448276,1,1.16,4.330345452
54,Phường Tương Mai,3,9,6,3,4,2,Không xác định,1,9.9,0.074074074,0.4,1.5,4.330345452
51,Phường Hoàng Mai,3,12.8,4,4,4,3,Không xác định,1,14.2,0.078431373,0.6,3.2,6.038338756
35,Phường Tương Mai,3,8.8,4,5,3,4,Không xác định,1,6.98,0.085714286,1,2.2,4.330345452
44,Phường Hoàng Mai,3,11,4,3,3,2,Không xác định,1,7.28,0.068181818,0.5,2.75,6.038338756
41,Phường Tương Mai,3,4.6,9,4,4,3,Không xác định,1,7.4,0.097560976,0.6,0.511111111,4.330345452
42,Phường Vĩnh Tuy,3,10.5,4,5,3,4,Không xác định,1,8.6,0.071428571,1,2.625,3.782375797
35,Phường Tương Mai,5,5.8,6,1,1,1,Không xác định,1,9.1,0.028571429,0.5,0.966666667,4.330345452
41,Phường Vĩnh Tuy,3,8.2,5,3,3,3,Không xác định,1,7.6,0.073170732,0.75,1.64,3.782375797
51,Phường Vĩnh Tuy,4,12.8,4,6,4,5,Không xác định,1,18.7,0.078431373,1,3.2,3.782375797
31,Phường Tương Mai,3,7.8,4,7,3,5,Không xác định,1,8.45,0.096774194,1.25,1.95,4.330345452
36,Phường Tương Mai,3,9,4,5,3,4,Không xác định,1,10,0.083333333,1,2.25,4.330345452
36,Phường Tương Mai,4,9,4,3,2,2,Không xác định,1,9.5,0.055555556,0.666666667,2.25,4.330345452
44,Phường Hoàng Mai,2,11,4,1,1,1,Không xác định,1,7.6,0.022727273,0.5,2.75,6.038338756
50,Phường Tương Mai,3,10,5,3,3,3,Không xác định,1,8,0.06,0.75,2,4.330345452
82,Phường Bạch Mai,3,16.4,5,2,2,2,Không xác định,1,8.5,0.024390244,0.666666667,3.28,3.189375782
47,Phường Tương Mai,0,11.8,4,4,4,4,Không xác định,1,8.6,0.085106383,0.8,2.95,4.330345452
42,Phường Bạch Mai,0,10.5,4,4,4,4,Không xác định,1,8.5,0.095238095,0.8,2.625,3.3
40,Phường Tương Mai,0,13.3,3,3,3,3,Không xác định,1,9.5,0.075,0.75,4.433333333,4.330345452
48,Phường Tương Mai,3,9.6,5,5,5,5,Không xác định,1,15.9,0.104166667,0.833333333,1.92,4.330345452
52,Phường Tương Mai,0,13,4,6,5,4,Không xác định,1,14.75,0.096153846,0.666666667,3.25,4.330345452
30,Phường Vĩnh Tuy,0,7.5,4,4,4,4,Không xác định,1,6.35,0.133333333,0.8,1.875,3.782375797
44,Phường Tương Mai,0,11,4,4,4,4,Không xác định,1,9.5,0.090909091,0.8,2.75,4.330345452
40,Phường Vĩnh Tuy,0,4.4,9,4,4,4,Không xác định,1,8.15,0.1,0.8,0.488888889,3.782375797
31,Phường Tương Mai,0,7.8,4,4,4,4,Không xác định,1,6.35,0.129032258,0.8,1.95,4.330345452
31,Phường Tương Mai,3,6.2,5,5,3,4,Không xác định,1,7.5,0.096774194,1,1.24,4.330345452
30,Phường Tương Mai,3,6,5,5,3,4,Không xác định,1,6.85,0.1,1,1.2,4.330345452
34,Phường Tương Mai,3,6.8,5,5,3,4,Không xác định,1,8.5,0.088235294,1,1.36,4.330345452
35,Phường Hoàng Mai,3,8.8,4,6,4,4,Không xác định,1,9.68,0.114285714,0.8,2.2,6.038338756
41,Phường Tương Mai,0,10.2,4,4,4,4,Không xác định,1,8.15,0.097560976,0.8,2.55,4.330345452
41,Phường Vĩnh Tuy,3,13.7,3,4,5,4,Không xác định,1,7.98,0.12195122,0.666666667,4.566666667,3.782375797
33,Phường Tương Mai,0,8.2,4,5,3,4,Không xác định,1,8.5,0.090909091,1,2.05,4.330345452
39,Phường Tương Mai,3,9.8,4,4,3,3,Không xác định,1,7.95,0.076923077,0.75,2.45,4.330345452
30,Phường Tương Mai,3,7.5,4,5,3,4,Không xác định,1,7,0.1,1,1.875,4.330345452
47,Phường Tương Mai,3,11.8,4,5,4,4,Không xác định,1,9.3,0.085106383,0.8,2.95,4.330345452
31,Phường Tương Mai,3,6.2,5,5,3,4,Không xác định,1,6.65,0.096774194,1,1.24,4.330345452
36,Phường Vĩnh Tuy,3,7.2,5,6,4,4,Không xác định,1,7.68,0.111111111,0.8,1.44,3.782375797
36,Phường Tương Mai,3,12,3,4,3,3,Không xác định,1,7.6,0.083333333,0.75,4,4.330345452
33,Phường Hoàng Mai,4,8.2,4,5,4,4,Không xác định,1,8.85,0.121212121,0.8,2.05,6.038338756
47,Phường Vĩnh Tuy,3,7.8,6,5,5,4,Không xác định,1,8.35,0.106382979,0.666666667,1.3,3.782375797
46,Phường Tương Mai,3,15.3,3,4,4,3,Không xác định,1,12.85,0.086956522,0.6,5.1,4.330345452
33,Phường Vĩnh Tuy,3,11,3,4,3,3,Không xác định,1,9.85,0.090909091,0.75,3.666666667,3.782375797
43,Phường Tương Mai,3,14.3,3,3,4,3,Không xác định,1,7.3,0.093023256,0.6,4.766666667,4.330345452
30,Phường Vĩnh Tuy,4,3.8,8,5,3,4,Không xác định,1,7.68,0.1,1,0.475,3.782375797
30,Phường Bạch Mai,3,7.5,4,5,3,4,Không xác định,1,7.5,0.1,1,1.875,3.189375782
36,Phường Tương Mai,3,12,3,5,3,4,Không xác định,1,7.65,0.083333333,1,4,4.330345452
46,Phường Vĩnh Tuy,3,11.5,4,6,6,5,Không xác định,1,14.8,0.130434783,0.714285714,2.875,3.782375797
35,Phường Lĩnh Nam,3,5.8,6,5,4,4,Không xác định,1,7.98,0.114285714,0.8,0.966666667,7.215801338
44,Phường Tương Mai,3,11,4,4,3,3,Không xác định,1,10.5,0.068181818,0.75,2.75,4.330345452
45,Phường Hoàng Mai,3,11.2,4,3,3,2,Không xác định,1,11.8,0.066666667,0.5,2.8,6.038338756
25,Phường Hoàng Mai,3,8.3,3,4,3,3,Không xác định,1,5.55,0.12,0.75,2.766666667,6.038338756
47,Phường Hoàng Mai,4,11.8,4,4,3,3,Không xác định,1,14.5,0.063829787,0.75,2.95,6.038338756
46,Phường Tương Mai,4,15.3,3,4,3,3,Không xác định,1,13.5,0.065217391,0.75,5.1,4.330345452
30,Phường Hoàng Mai,5,7.5,4,5,3,4,Không xác định,1,8.35,0.1,1,1.875,6.038338756
35,Phường Tương Mai,3,7,5,5,3,4,Không xác định,1,7.95,0.085714286,1,1.4,4.330345452
48,Phường Hoàng Mai,3,16,3,5,6,4,Không xác định,1,12.8,0.125,0.571428571,5.333333333,6.038338756
35,Phường Vĩnh Tuy,3,7,5,4,4,3,Không xác định,1,7.3,0.114285714,0.6,1.4,3.782375797
45,Phường Tương Mai,3,11.2,4,4,3,3,Không xác định,1,7.7,0.066666667,0.75,2.8,4.330345452
34,Phường Vĩnh Tuy,3,8.5,4,4,3,3,Không xác định,1,6.1,0.088235294,0.75,2.125,3.782375797
30,Phường Tương Mai,3,10,3,4,4,3,Không xác định,1,5.95,0.133333333,0.6,3.333333333,4.330345452
34,Phường Hoàng Mai,3,11.3,3,5,3,4,Không xác định,1,7.7,0.088235294,1,3.766666667,6.038338756
54,Phường Tương Mai,3,9,6,5,6,4,Không xác định,1,8.5,0.111111111,0.571428571,1.5,4.330345452
50,Phường Tương Mai,3,16.7,3,5,5,4,Không xác định,1,10.5,0.1,0.666666667,5.566666667,4.330345452
37,Phường Vĩnh Tuy,3,9.2,4,5,3,4,Không xác định,1,7.5,0.081081081,1,2.3,3.782375797
41,Phường Hai Bà Trưng,3,10.2,4,4,4,3,Không xác định,1,8.4,0.097560976,0.6,2.55,1.738125091
43,Phường Vĩnh Tuy,3,10.8,4,4,4,3,Không xác định,1,9.85,0.093023256,0.6,2.7,3.782375797
50,Phường Hai Bà Trưng,3,12.5,4,1,1,1,Không xác định,1,7.8,0.02,0.5,3.125,1.738125091
32,Phường Hoàng Mai,3,8,4,4,3,3,Không xác định,1,7.7,0.09375,0.75,2,6.038338756
36,Phường Tương Mai,3,9,4,5,3,4,Không xác định,1,10.5,0.083333333,1,2.25,4.330345452
68,Phường Hoàng Mai,4,11.3,6,4,4,3,Không xác định,1,14.8,0.058823529,0.6,1.883333333,6.038338756
43,Phường Hai Bà Trưng,4,10.8,4,5,4,3,Không xác định,1,15,0.093023256,0.6,2.7,1.738125091
35,Phường Tương Mai,3,7,5,5,3,4,Không xác định,1,7.5,0.085714286,1,1.4,4.330345452
52,Phường Bạch Mai,3,10.4,5,5,6,4,Không xác định,1,11.9,0.115384615,0.571428571,2.08,3.189375782
52,Phường Hoàng Mai,4,13,4,4,4,3,Không xác định,1,14.3,0.076923077,0.6,3.25,6.038338756
41,Phường Vĩnh Tuy,3,8.2,5,4,4,3,Không xác định,1,7.95,0.097560976,0.6,1.64,3.782375797
32,Phường Vĩnh Tuy,3,8,4,5,3,3,Không xác định,1,8.2,0.09375,0.75,2,3.782375797
53,Phường Tương Mai,3,13.2,4,4,4,3,Không xác định,1,9.9,0.075471698,0.6,3.3,4.330345452
34,Phường Tương Mai,3,8.5,4,4,3,3,Không xác định,1,7.1,0.088235294,0.75,2.125,4.330345452
43,Phường Tương Mai,3,10.8,4,5,3,4,Không xác định,1,10.5,0.069767442,1,2.7,4.330345452
46,Phường Vĩnh Tuy,3,9.2,5,5,6,4,Không xác định,1,15.5,0.130434783,0.571428571,1.84,3.782375797
44,Phường Tương Mai,3,11,4,5,4,4,Không xác định,1,10.5,0.090909091,0.8,2.75,4.330345452
45,Phường Tương Mai,3,9,5,6,6,5,Không xác định,1,11.95,0.133333333,0.714285714,1.8,4.330345452
48,Phường Tương Mai,4,9.6,5,4,3,3,Không xác định,1,14,0.0625,0.75,1.92,4.330345452
43,Phường Tương Mai,3,10.8,4,5,6,4,Không xác định,1,13.2,0.139534884,0.571428571,2.7,4.330345452
42,Phường Tương Mai,3,10.5,4,5,4,4,Không xác định,1,12.8,0.095238095,0.8,2.625,4.330345452
80,Phường Bạch Mai,8,20,4,4,4,3,Không xác định,1,21.5,0.05,0.6,5,3.189375782
90,Phường Lĩnh Nam,6,22.5,4,3,4,3,Không xác định,1,23.5,0.044444444,0.6,5.625,7.215801338
51,Phường Bạch Mai,8,12.8,4,5,4,4,Không xác định,1,16.5,0.078431373,0.8,3.2,3.189375782
43,Phường Lĩnh Nam,3,10.8,4,4,3,3,Không xác định,1,9.5,0.069767442,0.75,2.7,7.215801338
54,Phường Tương Mai,3,13.5,4,4,4,3,Không xác định,1,10.8,0.074074074,0.6,3.375,4.330345452
41,Phường Tương Mai,3,8.2,5,5,4,3,Không xác định,1,10.5,0.097560976,0.6,1.64,4.330345452
60,Phường Hoàng Mai,6,12,5,5,4,3,Không xác định,1,14.8,0.066666667,0.6,2.4,6.038338756
74,Phường Tương Mai,3,10.6,7,4,4,3,Không xác định,1,13.4,0.054054054,0.6,1.514285714,4.330345452
61,Phường Lĩnh Nam,6,12.2,5,5,4,4,Không xác định,1,14.8,0.06557377,0.8,2.44,7.215801338
41,Phường Tương Mai,3,8.2,5,5,6,4,Không xác định,1,10.2,0.146341463,0.571428571,1.64,4.330345452
38,Phường Bạch Mai,3,9.5,4,5,3,4,Không xác định,1,9.5,0.078947368,1,2.375,3.189375782
34,Phường Bạch Mai,3,11.3,3,4,4,3,Không xác định,1,10.5,0.117647059,0.6,3.766666667,3.189375782
47,Phường Vĩnh Tuy,6,9.4,5,5,3,4,Không xác định,1,13.8,0.063829787,1,1.88,3.782375797
38,Phường Vĩnh Tuy,3,9.5,4,5,3,4,Không xác định,1,7.65,0.078947368,1,2.375,3.782375797
30,Phường Tương Mai,3,6,5,5,3,4,Không xác định,1,6.2,0.1,1,1.2,4.330345452
45,Phường Vĩnh Tuy,3,15,3,5,6,4,Không xác định,1,12.87,0.133333333,0.571428571,5,3.782375797
43,Phường Vĩnh Tuy,3,8.6,5,4,4,3,Không xác định,1,10.9,0.093023256,0.6,1.72,3.782375797
45,Phường Tương Mai,4,11.2,4,6,4,5,Không xác định,1,15.5,0.088888889,1,2.8,4.330345452
32,Phường Tương Mai,6,10.7,3,5,3,4,Không xác định,1,11,0.09375,1,3.566666667,4.330345452
35,Phường Bạch Mai,3,8.8,4,5,3,4,Không xác định,1,8.8,0.085714286,1,2.2,3.189375782
54,Phường Tương Mai,5,13.5,4,7,4,6,Không xác định,1,23.9,0.074074074,1.2,3.375,4.330345452
51,Phường Tương Mai,6,12.8,4,6,3,5,Không xác định,1,21,0.058823529,1.25,3.2,4.330345452
40,Phường Yên Sở,8,13.3,3,5,3,4,Không xác định,1,18.8,0.075,1,4.433333333,7.3259762
70,Phường Hoàng Mai,8,14,5,4,3,3,Không xác định,1,20,0.042857143,0.75,2.8,6.038338756
40,Phường Tương Mai,3,10,4,5,6,4,Không xác định,1,10.8,0.15,0.571428571,2.5,4.330345452
30,Phường Tương Mai,3,7.5,4,5,3,4,Không xác định,1,7.5,0.1,1,1.875,4.330345452
34,Phường Bạch Mai,3,6.8,5,4,2,3,Không xác định,1,6.9,0.058823529,1,1.36,3.189375782
48,Phường Tương Mai,4,9.6,5,4,3,3,Không xác định,1,14,0.0625,0.75,1.92,4.330345452
32,Phường Bạch Mai,3,10.7,3,4,3,3,Không xác định,1,8.1,0.09375,0.75,3.566666667,3.189375782
42,Phường Tương Mai,3,10.5,4,4,4,3,Không xác định,1,9.5,0.095238095,0.6,2.625,4.330345452
46,Phường Tương Mai,3,9.2,5,4,4,3,Không xác định,1,8.6,0.086956522,0.6,1.84,4.330345452
41,Phường Vĩnh Tuy,4,13.7,3,4,4,3,Không xác định,1,10.6,0.097560976,0.6,4.566666667,3.782375797
42,Phường Lĩnh Nam,4,14,3,4,6,3,Không xác định,1,10.6,0.142857143,0.428571429,4.666666667,7.215801338
46,Phường Bạch Mai,6,11.5,4,4,4,3,Không xác định,1,18.8,0.086956522,0.6,2.875,3.189375782
38,Phường Tương Mai,3,5.4,7,3,3,3,Không xác định,1,8.2,0.078947368,0.75,0.771428571,4.330345452
57,Phường Bạch Mai,4,14.2,4,4,3,3,Không xác định,1,11.68,0.052631579,0.75,3.55,3.189375782
42,Phường Tương Mai,35,10.5,4,5,4,4,Không xác định,1,14,0.095238095,0.8,2.625,4.330345452
73,Phường Bạch Mai,3,14.6,5,3,3,2,Không xác định,1,12.4,0.04109589,0.5,2.92,3.189375782
62,Phường Bạch Mai,3,12.4,5,5,6,4,Không xác định,1,15.8,0.096774194,0.571428571,2.48,3.189375782
58,Phường Tương Mai,4,11.6,5,3,4,2,Không xác định,1,11,0.068965517,0.4,2.32,4.330345452
73,Phường Tương Mai,3,14.6,5,3,3,2,Không xác định,1,11.3,0.04109589,0.5,2.92,4.330345452
33,Phường Vĩnh Tuy,3,8.2,4,5,3,4,Không xác định,1,8.6,0.090909091,1,2.05,3.782375797
62,Phường Lĩnh Nam,4,12.4,5,5,5,4,Không xác định,1,13.8,0.080645161,0.666666667,2.48,7.215801338
61,Phường Tương Mai,4,12.2,5,5,4,4,Không xác định,1,13.8,0.06557377,0.8,2.44,4.330345452
73,Phường Tương Mai,3,18.2,4,3,3,2,Không xác định,1,12.5,0.04109589,0.5,4.55,4.330345452
69,Phường Lĩnh Nam,4,13.8,5,1,2,1,Không xác định,1,17,0.028985507,0.333333333,2.76,7.215801338
88,Phường Tương Mai,3,22,4,4,4,3,Không xác định,1,14.2,0.045454545,0.6,5.5,4.330345452
79,Phường Lĩnh Nam,3,19.8,4,4,4,3,Không xác định,1,16.8,0.050632911,0.6,4.95,7.215801338
78,Phường Vĩnh Tuy,4,19.5,4,4,3,3,Không xác định,1,16.2,0.038461538,0.75,4.875,3.782375797
55,Phường Lĩnh Nam,8,9.2,6,3,2,2,Không xác định,1,22,0.036363636,0.666666667,1.533333333,7.215801338
55,Phường Tương Mai,5,13.8,4,7,4,5,Không xác định,1,19.5,0.072727273,1,3.45,4.330345452
33,Phường Vĩnh Tuy,3,8.2,4,5,3,4,Không xác định,1,7.95,0.090909091,1,2.05,3.782375797
36,Phường Tương Mai,3,12,3,5,3,4,Không xác định,1,8.5,0.083333333,1,4,4.330345452
37,Phường Tương Mai,8,1.1,33,4,2,3,Không xác định,1,15,0.054054054,1,0.033333333,4.330345452
69,Phường Bạch Mai,8,8.6,8,2,2,1,Không xác định,1,15,0.028985507,0.333333333,1.075,3.189375782
62,Phường Bạch Mai,3,6.9,9,4,4,3,Không xác định,1,11.5,0.064516129,0.6,0.766666667,3.189375782
34,Phường Lĩnh Nam,3,6.8,5,5,3,4,Không xác định,1,7.98,0.088235294,1,1.36,7.215801338
58,Phường Bạch Mai,5,11.6,5,4,4,3,Không xác định,0,19,0.068965517,0.6,2.32,3.189375782
61,Phường Tương Mai,8,12.2,5,5,6,4,Không xác định,1,22.5,0.098360656,0.571428571,2.44,4.330345452
73,Phường Vĩnh Tuy,3,12.2,6,3,3,2,Không xác định,1,14.5,0.04109589,0.5,2.033333333,3.782375797
46,Phường Vĩnh Tuy,6,11.5,4,4,4,3,Không xác định,1,16.38,0.086956522,0.6,2.875,3.782375797
52,Phường Tương Mai,5,1.2,45,6,4,5,Không xác định,1,18.6,0.076923077,1,0.026666667,4.330345452
46,Phường Vĩnh Tuy,8,11.5,4,6,4,5,Không xác định,1,19.5,0.086956522,1,2.875,3.782375797
77,Phường Tương Mai,4,19.2,4,1,2,1,Không xác định,1,18.8,0.025974026,0.333333333,4.8,4.330345452
