area,address,street_in_front_of_house,width,height,floor_number,bedroom_number,bathroom_number,direction,law,price,room_density,bath_per_bed,wide_ratio,distance_center
51,Phường Vĩnh Tuy,3,10.2,5,4,3,3,Không xác định,1,9.2,0.058823529,0.75,2.04,6.215673926
34,Phường Tương Mai,3,8.5,4,6,3,4,Không xác định,1,7.5,0.088235294,1,2.125,4.118833101
34,Phường Lĩnh Nam,3,6.8,5,5,3,4,Không xác định,1,8.85,0.088235294,1,1.36,5.816399273
43,Phường Tương Mai,3,14.3,3,5,6,4,Không xác định,1,10.5,0.139534884,0.571428571,4.766666667,4.127661659
51,Phường Vĩnh Tuy,4,7.3,7,6,4,5,Không xác định,1,19.8,0.078431373,1,1.042857143,2.888090915
52,Phường Vĩnh Tuy,3,13,4,4,4,3,Không xác định,1,10.2,0.076923077,0.6,3.25,4.794587115
39,Phường Tương Mai,3,13,3,5,3,4,Không xác định,1,10.6,0.076923077,1,4.333333333,3.264079486
30,Phường Tương Mai,3,7.5,4,7,3,5,Không xác định,1,9.8,0.1,1.25,1.875,2.868837208
55,Phường Tương Mai,3,18.3,3,5,6,4,Không xác định,1,11.8,0.109090909,0.571428571,6.1,4.005966027
90,Phường Tương Mai,4,15,6,3,2,3,Không xác định,0,10.2,0.022222222,1,2.5,9.629674501
39,Phường Tương Mai,3,7.8,5,4,3,3,Không xác định,1,8.15,0.076923077,0.75,1.56,4.245305835
26,Phường Vĩnh Tuy,3,5,5,3,3,3,Không xác định,1,7.1,0.115384615,0.75,1,3.621753992
30,Phường Tương Mai,3,6,5,5,3,4,Không xác định,1,6.85,0.1,1,1.2,4.104321846
73,Phường Tương Mai,5,14.6,5,4,3,3,Không xác định,1,20,0.04109589,0.75,2.92,2.730620096
56,Phường Lĩnh Nam,3,11.2,5,5,3,4,Không xác định,1,9.85,0.053571429,1,2.24,7.246171647
82,Phường Tương Mai,3,20.5,4,3,3,3,Không xác định,1,9.4,0.036585366,0.75,5.125,4.250016687
30,Phường Lĩnh Nam,3,10,3,5,3,4,Không xác định,1,6.35,0.1,1,3.333333333,7.377687911
55,Phường Tương Mai,3,13.8,4,4,4,3,Không xác định,1,13.35,0.072727273,0.6,3.45,3.540853867
63,Phường Tương Mai,4,12.6,5,5,4,4,Không xác định,1,13.8,0.063492063,0.8,2.52,4.389477327
27,Phường Vĩnh Tuy,4,9,3,4,4,3,Không xác định,1,8.85,0.148148148,0.6,3,2.805184196
39,Phường Tương Mai,4,9.8,4,5,4,3,Không xác định,1,9,0.102564103,0.6,2.45,3.844360284
49,Phường Vĩnh Tuy,4,12.2,4,3,4,3,Không xác định,1,11.3,0.081632653,0.6,3.05,3.546891912
40,Phường Tương Mai,3,10,4,5,6,4,Không xác định,1,8.35,0.15,0.571428571,2.5,3.715968814
43,Phường Tương Mai,3,10.8,4,5,4,4,Không xác định,1,8.9,0.093023256,0.8,2.7,4.869713193
55,Phường Lĩnh Nam,3,13.8,4,6,6,4,Không xác định,1,14.5,0.109090909,0.571428571,3.45,5.432294315
50,Phường Vĩnh Tuy,4,16.7,3,4,4,3,Không xác định,1,10.9,0.08,0.6,5.566666667,3.092372522
39,Phường Tương Mai,3,9.8,4,5,3,4,Không xác định,1,6.35,0.076923077,1,2.45,5.448699615
30,Phường Tương Mai,3,6,5,5,3,4,Không xác định,1,6.2,0.1,1,1.2,4.534613652
30,Phường Bạch Mai,3,7.5,4,4,3,2,Không xác định,1,8.3,0.1,0.5,1.875,2.19022825
34,Phường Bạch Mai,3,11.3,3,3,2,2,Không xác định,1,6.8,0.058823529,0.666666667,3.766666667,3.147206621
31,Phường Tương Mai,3,7.8,4,4,3,3,Không xác định,1,6.95,0.096774194,0.75,1.95,4.377310624
34,Phường Tương Mai,3,8.5,4,6,3,4,Không xác định,1,7.85,0.088235294,1,2.125,3.935190861
35,Phường Tương Mai,3,8.8,4,6,3,4,Không xác định,1,7.85,0.085714286,1,2.2,3.802687252
40,Phường Vĩnh Tuy,3,13.3,3,4,4,4,Không xác định,1,7.98,0.1,0.8,4.433333333,3.396235343
45,Phường Tương Mai,3,7.5,6,4,4,3,Không xác định,1,9,0.088888889,0.6,1.25,4.172460718
50,Phường Vĩnh Tuy,3,12.5,4,5,6,4,Không xác định,1,12.5,0.12,0.571428571,3.125,2.69654884
30,Phường Vĩnh Tuy,3,0.8,38,6,3,4,Không xác định,1,6.75,0.1,1,0.021052632,3.638064046
66,Phường Lĩnh Nam,3,16.5,4,5,5,4,Không xác định,1,13.8,0.075757576,0.666666667,4.125,6.269880254
30,Phường Tương Mai,3,10,3,5,3,4,Không xác định,1,6.5,0.1,1,3.333333333,4.325323791
32,Phường Tương Mai,3,10.7,3,5,3,4,Không xác định,1,6.4,0.09375,1,3.566666667,4.419427621
34,Phường Tương Mai,3,8.5,4,4,4,3,Không xác định,1,7.35,0.117647059,0.6,2.125,4.20289092
47,Phường Bạch Mai,3,7.8,6,5,3,4,Không xác định,1,8.55,0.063829787,1,1.3,3.085996856
30,Phường Bạch Mai,4,5,6,5,4,4,Không xác định,1,11,0.133333333,0.8,0.833333333,1.947738693
42,Phường Vĩnh Tuy,3,10.5,4,3,3,2,Không xác định,1,9.95,0.071428571,0.5,2.625,3.766998344
51,Phường Vĩnh Tuy,3,10.2,5,4,3,3,Không xác định,1,11,0.058823529,0.75,2.04,5.198563647
41,Phường Vĩnh Tuy,3,10.2,4,4,4,3,Không xác định,1,8.5,0.097560976,0.6,2.55,3.56502615
29,Phường Tương Mai,3,5.8,5,5,3,4,Không xác định,1,7.2,0.103448276,1,1.16,4.330345452
54,Phường Tương Mai,3,9,6,3,4,2,Không xác định,1,9.9,0.074074074,0.4,1.5,4.037567413
51,Phường Hoàng Mai,3,12.8,4,4,4,3,Không xác định,1,14.2,0.078431373,0.6,3.2,6.428956749
35,Phường Tương Mai,3,8.8,4,5,3,4,Không xác định,1,6.98,0.085714286,1,2.2,4.276661165
44,Phường Hoàng Mai,3,11,4,3,3,2,Không xác định,1,7.28,0.068181818,0.5,2.75,6.123283634
41,Phường Tương Mai,3,4.6,9,4,4,3,Không xác định,1,7.4,0.097560976,0.6,0.511111111,4.688217951
42,Phường Vĩnh Tuy,3,10.5,4,5,3,4,Không xác định,1,8.6,0.071428571,1,2.625,4.35832948
35,Phường Tương Mai,5,5.8,6,1,1,1,Không xác định,1,9.1,0.028571429,0.5,0.966666667,3.280340102
41,Phường Vĩnh Tuy,3,8.2,5,3,3,3,Không xác định,1,7.6,0.073170732,0.75,1.64,3.9872003
51,Phường Vĩnh Tuy,4,12.8,4,6,4,5,Không xác định,1,18.7,0.078431373,1,3.2,3.057978616
31,Phường Tương Mai,3,7.8,4,7,3,5,Không xác định,1,8.45,0.096774194,1.25,1.95,3.600273236
36,Phường Tương Mai,3,9,4,5,3,4,Không xác định,1,10,0.083333333,1,2.25,3.472980574
36,Phường Tương Mai,4,9,4,3,2,2,Không xác định,1,9.5,0.055555556,0.666666667,2.25,3.655769025
44,Phường Hoàng Mai,2,11,4,1,1,1,Không xác định,1,7.6,0.022727273,0.5,2.75,5.865461165
50,Phường Tương Mai,3,10,5,3,3,3,Không xác định,1,8,0.06,0.75,2,4.823765468
82,Phường Bạch Mai,3,16.4,5,2,2,2,Không xác định,1,8.5,0.024390244,0.666666667,3.28,3.461646467
47,Phường Tương Mai,0,11.8,4,4,4,4,Không xác định,1,8.6,0.085106383,0.8,2.95,4.165623301
42,Phường Bạch Mai,0,10.5,4,4,4,4,Không xác định,1,8.5,0.095238095,0.8,2.625,3.847236181
40,Phường Tương Mai,0,13.3,3,3,3,3,Không xác định,1,9.5,0.075,0.75,4.433333333,3.26614101
48,Phường Tương Mai,3,9.6,5,5,5,5,Không xác định,1,15.9,0.104166667,0.833333333,1.92,2.189602
52,Phường Tương Mai,0,13,4,6,5,4,Không xác định,1,14.75,0.096153846,0.666666667,3.25,3.79592159
30,Phường Vĩnh Tuy,0,7.5,4,4,4,4,Không xác định,1,6.35,0.133333333,0.8,1.875,3.867233435
44,Phường Tương Mai,0,11,4,4,4,4,Không xác định,1,9.5,0.090909091,0.8,2.75,3.365094157
40,Phường Vĩnh Tuy,0,4.4,9,4,4,4,Không xác định,1,8.15,0.1,0.8,0.488888889,3.325393624
31,Phường Tương Mai,0,7.8,4,4,4,4,Không xác định,1,6.35,0.129032258,0.8,1.95,4.790914778
31,Phường Tương Mai,3,6.2,5,5,3,4,Không xác định,1,7.5,0.096774194,1,1.24,4.056307845
30,Phường Tương Mai,3,6,5,5,3,4,Không xác định,1,6.85,0.1,1,1.2,4.104321846
34,Phường Tương Mai,3,6.8,5,5,3,4,Không xác định,1,8.5,0.088235294,1,1.36,3.634264501
35,Phường Hoàng Mai,3,8.8,4,6,4,4,Không xác định,1,9.68,0.114285714,0.8,2.2,4.300112705
41,Phường Tương Mai,0,10.2,4,4,4,4,Không xác định,1,8.15,0.097560976,0.8,2.55,4.256786851
41,Phường Vĩnh Tuy,3,13.7,3,4,5,4,Không xác định,1,7.98,0.12195122,0.666666667,4.566666667,3.797333619
33,Phường Tương Mai,0,8.2,4,5,3,4,Không xác định,1,8.5,0.090909091,1,2.05,4.372330474
39,Phường Tương Mai,3,9.8,4,4,3,3,Không xác định,1,7.95,0.076923077,0.75,2.45,4.352105982
30,Phường Tương Mai,3,7.5,4,5,3,4,Không xác định,1,7,0.1,1,1.875,4.016372092
47,Phường Tương Mai,3,11.8,4,5,4,4,Không xác định,1,9.3,0.085106383,0.8,2.95,3.852081762
31,Phường Tương Mai,3,6.2,5,5,3,4,Không xác định,1,6.65,0.096774194,1,1.24,4.574783284
36,Phường Vĩnh Tuy,3,7.2,5,6,4,4,Không xác định,1,7.68,0.111111111,0.8,1.44,3.949874223
36,Phường Tương Mai,3,12,3,4,3,3,Không xác định,1,7.6,0.083333333,0.75,4,4.569711281
33,Phường Hoàng Mai,4,8.2,4,5,4,4,Không xác định,1,8.85,0.121212121,0.8,2.05,5.855763996
47,Phường Vĩnh Tuy,3,7.8,6,5,5,4,Không xác định,1,8.35,0.106382979,0.666666667,1.3,3.747434944
46,Phường Tương Mai,3,15.3,3,4,4,3,Không xác định,1,12.85,0.086956522,0.6,5.1,3.566356108
33,Phường Vĩnh Tuy,3,11,3,4,3,3,Không xác định,1,9.85,0.090909091,0.75,3.666666667,3.295625143
43,Phường Tương Mai,3,14.3,3,3,4,3,Không xác định,1,7.3,0.093023256,0.6,4.766666667,5.937047592
30,Phường Vĩnh Tuy,4,3.8,8,5,3,4,Không xác định,1,7.68,0.1,1,0.475,3.197517228
30,Phường Bạch Mai,3,7.5,4,5,3,4,Không xác định,1,7.5,0.1,1,1.875,2.760920275
36,Phường Tương Mai,3,12,3,5,3,4,Không xác định,1,7.65,0.083333333,1,4,4.539843887
46,Phường Vĩnh Tuy,3,11.5,4,6,6,5,Không xác định,1,14.8,0.130434783,0.714285714,2.875,2.704632429
35,Phường Lĩnh Nam,3,5.8,6,5,4,4,Không xác định,1,7.98,0.114285714,0.8,0.966666667,6.233319653
44,Phường Tương Mai,3,11,4,4,3,3,Không xác định,1,10.5,0.068181818,0.75,2.75,3.044608999
45,Phường Hoàng Mai,3,11.2,4,3,3,2,Không xác định,1,11.8,0.066666667,0.5,2.8,4.437595261
25,Phường Hoàng Mai,3,8.3,3,4,3,3,Không xác định,1,5.55,0.12,0.75,2.766666667,7.651186719
47,Phường Hoàng Mai,4,11.8,4,4,3,3,Không xác định,1,14.5,0.063829787,0.75,2.95,3.445128087
46,Phường Tương Mai,4,15.3,3,4,3,3,Không xác định,1,13.5,0.065217391,0.75,5.1,3.394642666
30,Phường Hoàng Mai,5,7.5,4,5,3,4,Không xác định,1,8.35,0.1,1,1.875,4.695052311
35,Phường Tương Mai,3,7,5,5,3,4,Không xác định,1,7.95,0.085714286,1,1.4,3.754854708
48,Phường Hoàng Mai,3,16,3,5,6,4,Không xác định,1,12.8,0.125,0.571428571,5.333333333,3.792689296
35,Phường Vĩnh Tuy,3,7,5,4,4,3,Không xác định,1,7.3,0.114285714,0.6,1.4,3.571737536
45,Phường Tương Mai,3,11.2,4,4,3,3,Không xác định,1,7.7,0.066666667,0.75,2.8,4.876902138
34,Phường Vĩnh Tuy,3,8.5,4,4,3,3,Không xác định,1,6.1,0.088235294,0.75,2.125,4.423313849
30,Phường Tương Mai,3,10,3,4,4,3,Không xác định,1,5.95,0.133333333,0.6,3.333333333,4.725143638
34,Phường Hoàng Mai,3,11.3,3,5,3,4,Không xác định,1,7.7,0.088235294,1,3.766666667,5.594221561
54,Phường Tương Mai,3,9,6,5,6,4,Không xác định,1,8.5,0.111111111,0.571428571,1.5,4.702578517
50,Phường Tương Mai,3,16.7,3,5,5,4,Không xác định,1,10.5,0.1,0.666666667,5.566666667,3.67524988
37,Phường Vĩnh Tuy,3,9.2,4,5,3,4,Không xác định,1,7.5,0.081081081,1,2.3,5.664060239
41,Phường Hai Bà Trưng,3,10.2,4,4,4,3,Không xác định,1,8.4,0.097560976,0.6,2.55,1.657748763
43,Phường Vĩnh Tuy,3,10.8,4,4,4,3,Không xác định,1,9.85,0.093023256,0.6,2.7,3.843255809
50,Phường Hai Bà Trưng,3,12.5,4,1,1,1,Không xác định,1,7.8,0.02,0.5,3.125,1.985820794
32,Phường Hoàng Mai,3,8,4,4,3,3,Không xác định,1,7.7,0.09375,0.75,2,5.122125377
36,Phường Tương Mai,3,9,4,5,3,4,Không xác định,1,10.5,0.083333333,1,2.25,3.307600546
68,Phường Hoàng Mai,4,11.3,6,4,4,3,Không xác định,1,14.8,0.058823529,0.6,1.883333333,6.038338756
43,Phường Hai Bà Trưng,4,10.8,4,5,4,3,Không xác định,1,15,0.093023256,0.6,2.7,1.159739948
35,Phường Tương Mai,3,7,5,5,3,4,Không xác định,1,7.5,0.085714286,1,1.4,3.980145991
52,Phường Bạch Mai,3,10.4,5,5,6,4,Không xác định,1,11.9,0.115384615,0.571428571,2.08,3.46533672
52,Phường Hoàng Mai,4,13,4,4,4,3,Không xác định,1,14.3,0.076923077,0.6,3.25,5.459692033
41,Phường Vĩnh Tuy,3,8.2,5,4,4,3,Không xác định,1,7.95,0.097560976,0.6,1.64,3.81166318
32,Phường Vĩnh Tuy,3,8,4,5,3,3,Không xác định,1,8.2,0.09375,0.75,2,3.01282759
53,Phường Tương Mai,3,13.2,4,4,4,3,Không xác định,1,9.9,0.075471698,0.6,3.3,3.681925621
34,Phường Tương Mai,3,8.5,4,4,3,3,Không xác định,1,7.1,0.088235294,0.75,2.125,4.350880037
43,Phường Tương Mai,3,10.8,4,5,3,4,Không xác định,1,10.5,0.069767442,1,2.7,4.127661659
46,Phường Vĩnh Tuy,3,9.2,5,5,6,4,Không xác định,1,15.5,0.130434783,0.571428571,1.84,2.582487738
44,Phường Tương Mai,3,11,4,5,4,4,Không xác định,1,10.5,0.090909091,0.8,2.75,3.044608999
45,Phường Tương Mai,3,9,5,6,6,5,Không xác định,1,11.95,0.133333333,0.714285714,1.8,3.142439035
48,Phường Tương Mai,4,9.6,5,4,3,3,Không xác định,1,14,0.0625,0.75,1.92,2.486762272
43,Phường Tương Mai,3,10.8,4,5,6,4,Không xác định,1,13.2,0.139534884,0.571428571,2.7,3.283367229
42,Phường Tương Mai,3,10.5,4,5,4,4,Không xác định,1,12.8,0.095238095,0.8,2.625,3.352481639
80,Phường Bạch Mai,8,20,4,4,4,3,Không xác định,1,21.5,0.05,0.6,5,3.19004668
90,Phường Lĩnh Nam,6,22.5,4,3,4,3,Không xác định,1,23.5,0.044444444,0.6,5.625,6.964756566
51,Phường Bạch Mai,8,12.8,4,5,4,4,Không xác định,1,16.5,0.078431373,0.8,3.2,2.922356016
43,Phường Lĩnh Nam,3,10.8,4,4,3,3,Không xác định,1,9.5,0.069767442,0.75,2.7,7.602069043
54,Phường Tương Mai,3,13.5,4,4,4,3,Không xác định,1,10.8,0.074074074,0.6,3.375,3.701103462
41,Phường Tương Mai,3,8.2,5,5,4,3,Không xác định,1,10.5,0.097560976,0.6,1.64,3.304077413
60,Phường Hoàng Mai,6,12,5,5,4,3,Không xác định,1,14.8,0.066666667,0.6,2.4,5.636493585
74,Phường Tương Mai,3,10.6,7,4,4,3,Không xác định,1,13.4,0.054054054,0.6,1.514285714,5.278877207
61,Phường Lĩnh Nam,6,12.2,5,5,4,4,Không xác định,1,14.8,0.06557377,0.8,2.44,7.282441904
41,Phường Tương Mai,3,8.2,5,5,6,4,Không xác định,1,10.2,0.146341463,0.571428571,1.64,3.40125616
38,Phường Bạch Mai,3,9.5,4,5,3,4,Không xác định,1,9.5,0.078947368,1,2.375,2.427502149
34,Phường Bạch Mai,3,11.3,3,4,4,3,Không xác định,1,10.5,0.117647059,0.6,3.766666667,2.16685229
47,Phường Vĩnh Tuy,6,9.4,5,5,3,4,Không xác định,1,13.8,0.063829787,1,1.88,2.267469694
38,Phường Vĩnh Tuy,3,9.5,4,5,3,4,Không xác định,1,7.65,0.078947368,1,2.375,3.575038943
30,Phường Tương Mai,3,6,5,5,3,4,Không xác định,1,6.2,0.1,1,1.2,4.534613652
45,Phường Vĩnh Tuy,3,15,3,5,6,4,Không xác định,1,12.87,0.133333333,0.571428571,5,2.548580475
43,Phường Vĩnh Tuy,3,8.6,5,4,4,3,Không xác định,1,10.9,0.093023256,0.6,1.72,3.47303392
45,Phường Tương Mai,4,11.2,4,6,4,5,Không xác định,1,15.5,0.088888889,1,2.8,2.422719127
32,Phường Tương Mai,6,10.7,3,5,3,4,Không xác định,1,11,0.09375,1,3.566666667,2.571303343
35,Phường Bạch Mai,3,8.8,4,5,3,4,Không xác định,1,8.8,0.085714286,1,2.2,2.498392929
54,Phường Tương Mai,5,13.5,4,7,4,6,Không xác định,1,23.9,0.074074074,1.2,3.375,1.672465163
51,Phường Tương Mai,6,12.8,4,6,3,5,Không xác định,1,21,0.058823529,1.25,3.2,3.117558585
40,Phường Yên Sở,8,13.3,3,5,3,4,Không xác định,1,18.8,0.075,1,4.433333333,2.79218151
70,Phường Hoàng Mai,8,14,5,4,3,3,Không xác định,1,20,0.042857143,0.75,2.8,6.012546857
40,Phường Tương Mai,3,10,4,5,6,4,Không xác định,1,10.8,0.15,0.571428571,2.5,2.872994407
30,Phường Tương Mai,3,7.5,4,5,3,4,Không xác định,1,7.5,0.1,1,1.875,3.748613952
34,Phường Bạch Mai,3,6.8,5,4,2,3,Không xác định,1,6.9,0.058823529,1,1.36,3.29738392
48,Phường Tương Mai,4,9.6,5,4,3,3,Không xác định,1,14,0.0625,0.75,1.92,2.486762272
32,Phường Bạch Mai,3,10.7,3,4,3,3,Không xác định,1,8.1,0.09375,0.75,3.566666667,2.571841083
42,Phường Tương Mai,3,10.5,4,4,4,3,Không xác định,1,9.5,0.095238095,0.6,2.625,4.517027893
46,Phường Tương Mai,3,9.2,5,4,4,3,Không xác định,1,8.6,0.086956522,0.6,1.84,5.328799534
41,Phường Vĩnh Tuy,4,13.7,3,4,4,3,Không xác định,1,10.6,0.097560976,0.6,4.566666667,2.858747385
42,Phường Lĩnh Nam,4,14,3,4,6,3,Không xác định,1,10.6,0.142857143,0.428571429,4.666666667,6.745785645
46,Phường Bạch Mai,6,11.5,4,4,4,3,Không xác định,1,18.8,0.086956522,0.6,2.875,1.795366566
38,Phường Tương Mai,3,5.4,7,3,3,3,Không xác định,1,8.2,0.078947368,0.75,0.771428571,3.818442254
57,Phường Bạch Mai,4,14.2,4,4,3,3,Không xác định,1,11.68,0.052631579,0.75,3.55,2.943756304
42,Phường Tương Mai,35,10.5,4,5,4,4,Không xác định,1,14,0.095238095,0.8,2.625,3.06512607
73,Phường Bạch Mai,3,14.6,5,3,3,2,Không xác định,1,12.4,0.04109589,0.5,2.92,3.243790079
62,Phường Bạch Mai,3,12.4,5,5,6,4,Không xác định,1,15.8,0.096774194,0.571428571,2.48,2.626705867
58,Phường Tương Mai,4,11.6,5,3,4,2,Không xác định,1,11,0.068965517,0.4,2.32,5.374850888
73,Phường Tương Mai,3,14.6,5,3,3,2,Không xác định,1,11.3,0.04109589,0.5,2.92,4.832955922
33,Phường Vĩnh Tuy,3,8.2,4,5,3,4,Không xác định,1,8.6,0.090909091,1,2.05,3.774640425
62,Phường Lĩnh Nam,4,12.4,5,5,5,4,Không xác định,1,13.8,0.080645161,0.666666667,2.48,6.80406291
61,Phường Tương Mai,4,12.2,5,5,4,4,Không xác định,1,13.8,0.06557377,0.8,2.44,4.687028921
73,Phường Tương Mai,3,18.2,4,3,3,2,Không xác định,1,12.5,0.04109589,0.5,4.55,4.368992153
69,Phường Lĩnh Nam,4,13.8,5,1,2,1,Không xác định,1,17,0.028985507,0.333333333,2.76,6.789209476
88,Phường Tương Mai,3,22,4,4,4,3,Không xác định,1,14.2,0.045454545,0.6,5.5,2.957363285
79,Phường Lĩnh Nam,3,19.8,4,4,4,3,Không xác định,1,16.8,0.050632911,0.6,4.95,7.215801338
78,Phường Vĩnh Tuy,4,19.5,4,4,3,3,Không xác định,1,16.2,0.038461538,0.75,4.875,3.707521409
55,Phường Lĩnh Nam,8,9.2,6,3,2,2,Không xác định,1,22,0.036363636,0.666666667,1.533333333,3.580375799
55,Phường Tương Mai,5,13.8,4,7,4,5,Không xác định,1,19.5,0.072727273,1,3.45,2.424123032
33,Phường Vĩnh Tuy,3,8.2,4,5,3,4,Không xác định,1,7.95,0.090909091,1,2.05,4.083258825
36,Phường Tương Mai,3,12,3,5,3,4,Không xác định,1,8.5,0.083333333,1,4,4.085859498
37,Phường Tương Mai,8,1.1,33,4,2,3,Không xác định,1,15,0.054054054,1,0.033333333,3.242318957
69,Phường Bạch Mai,8,8.6,8,2,2,1,Không xác định,1,15,0.028985507,0.333333333,1.075,3.400932367
62,Phường Bạch Mai,3,6.9,9,4,4,3,Không xác định,1,11.5,0.064516129,0.6,0.766666667,3.608865452
34,Phường Lĩnh Nam,3,6.8,5,5,3,4,Không xác định,1,7.98,0.088235294,1,1.36,6.450517991
58,Phường Bạch Mai,5,11.6,5,4,4,3,Không xác định,0,19,0.068965517,0.6,2.32,2.291862999
61,Phường Tương Mai,8,12.2,5,5,6,4,Không xác định,1,22.5,0.098360656,0.571428571,2.44,2.874711071
73,Phường Vĩnh Tuy,3,12.2,6,3,3,2,Không xác định,1,14.5,0.04109589,0.5,2.033333333,3.289769031
46,Phường Vĩnh Tuy,6,11.5,4,4,4,3,Không xác định,1,16.38,0.086956522,0.6,2.875,2.443746028
52,Phường Tương Mai,5,1.2,45,6,4,5,Không xác định,1,18.6,0.076923077,1,0.026666667,3.010206637
46,Phường Vĩnh Tuy,8,11.5,4,6,4,5,Không xác định,1,19.5,0.086956522,1,2.875,2.052746664
77,Phường Tương Mai,4,19.2,4,1,2,1,Không xác định,1,18.8,0.025974026,0.333333333,4.8,4.330345452
